student_id,subject_id,mark
54590,647,4
66103,37,4
6880,278,4
96028,229,4
37323,470,4
81520,889,4
2867,137,4
57038,504,4
14245,632,4
96344,315,4
90714,360,4
59680,229,4
89433,764,4
25568,885,4
55667,935,4
52346,152,4
55655,962,4
65035,494,4
76663,975,4
90478,519,4
55685,106,4
95244,54,4
28085,776,4
90697,920,4
59970,773,4
99368,14,4
62449,619,4
74629,407,4
1684,257,4
97387,830,4
3315,989,4
25378,699,4
49091,604,4
87118,243,4
16225,649,4
52961,51,4
982,773,4
57395,281,4
92496,810,4
61125,935,4
326,307,4
98776,873,4
88053,346,4
47077,503,4
68688,753,4
10478,584,4
31128,487,4
14475,964,4
29135,459,4
34571,329,4
8191,879,4
8587,868,4
42902,175,4
10982,649,4
64687,539,4
55234,887,4
52321,820,4
94113,300,4
59020,858,4
88902,696,4
22207,535,4
18592,389,4
74086,601,4
44075,676,4
98157,202,4
50142,498,4
78706,739,4
18228,822,4
66174,141,4
22024,496,4
59272,540,4
36111,887,4
68760,461,4
64705,811,4
64161,83,4
81695,959,4
61023,89,4
91789,102,4
84249,40,4
50849,524,4
4344,521,4
87596,848,4
93150,620,4
72390,814,4
27484,140,4
28610,541,4
36419,844,4
48117,610,4
64877,675,4
52065,519,4
40192,179,4
90208,604,4
18067,765,4
869,885,4
78480,886,4
32373,643,4
2988,556,4
97228,145,4
6689,562,4
69848,227,4
69770,411,4
46575,322,4
10015,373,4
63669,106,4
50562,356,4
84212,696,4
13192,325,4
47611,491,4
34884,430,4
25739,835,4
38022,482,4
6121,311,4
23723,319,4
64025,224,4
42553,393,4
72409,467,4
72006,225,4
18695,567,4
14145,222,4
13965,117,4
59990,842,4
49506,257,4
23657,444,4
48472,605,4
15933,492,4
76146,51,4
51125,625,4
24601,537,4
17544,194,4
63631,919,4
55454,98,4
67200,41,4
73274,930,4
82772,488,4
74427,236,4
48860,28,4
80067,380,4
82247,628,4
92935,354,4
92712,320,4
70763,600,4
95515,930,4
17517,487,4
72064,29,4
96087,683,4
94074,502,4
99056,687,4
84071,835,4
91836,732,4
70998,742,4
7541,805,4
7353,120,4
49758,789,4
11256,314,4
62360,80,4
5090,861,4
35494,988,4
344,936,4
89754,867,4
98488,37,4
3813,465,4
76485,645,4
50928,887,4
24995,443,4
99683,878,4
62535,217,4
18852,867,4
52432,355,4
83429,72,4
97804,176,4
12266,513,4
10705,75,4
79562,858,4
12815,542,4
38143,105,4
13955,7,4
25939,272,4
902,796,4
32763,514,4
99063,930,4
35404,531,4
31027,128,4
96029,889,4
52516,829,4
32080,61,4
89623,143,4
20859,695,4
81051,718,4
60336,114,4
58300,779,4
73811,805,4
86153,774,4
26287,72,4
61499,180,4
25499,734,4
29144,688,4
84347,431,4
86008,782,4
50791,543,4
80759,707,4
21414,377,4
24293,787,4
43018,459,4
31547,633,4
27236,593,4
94855,555,4
46131,312,4
98032,739,4
18973,878,4
69238,354,4
19781,455,4
96405,401,4
645,13,4
41774,861,4
44975,528,4
29917,588,4
72031,559,4
82814,346,4
58822,234,4
76235,54,4
179,738,4
5568,118,4
70749,308,4
71353,942,4
