student_id,subject_id,mark
66111,216,3
84727,540,3
51437,99,3
40529,112,3
54572,776,3
58116,85,3
82874,281,3
20187,350,3
21920,838,3
20595,714,3
7307,657,3
23069,472,3
36034,554,3
41818,552,3
41635,787,3
63659,888,3
2217,771,3
1579,760,3
95560,459,3
83022,628,3
43609,309,3
44581,332,3
58288,315,3
12090,221,3
93215,411,3
53266,785,3
35095,583,3
64131,184,3
6783,58,3
18884,275,3
14370,530,3
19575,982,3
11148,970,3
18335,54,3
69000,901,3
78409,84,3
8640,423,3
30296,479,3
75262,794,3
44072,378,3
55716,394,3
29208,977,3
60385,736,3
48642,421,3
10747,168,3
37541,951,3
39241,284,3
54728,103,3
33895,840,3
88096,443,3
11857,671,3
18033,626,3
53383,398,3
85987,181,3
92127,600,3
85876,196,3
51659,377,3
84213,49,3
30130,10,3
18779,953,3
63989,723,3
24118,368,3
22242,927,3
86922,841,3
35843,532,3
62642,626,3
85038,480,3
73916,365,3
34385,277,3
49831,879,3
36806,346,3
78761,220,3
5395,680,3
25135,636,3
77025,647,3
29006,484,3
99074,675,3
78915,338,3
49122,900,3
22737,897,3
12797,724,3
92510,501,3
10862,571,3
64614,572,3
27034,599,3
37690,968,3
53029,54,3
10667,508,3
23245,579,3
97185,297,3
9884,826,3
14070,124,3
22022,845,3
4009,182,3
20324,345,3
43795,519,3
62909,115,3
64152,697,3
29870,22,3
84397,692,3
48691,137,3
99329,547,3
16317,130,3
93160,157,3
57078,490,3
87983,903,3
10175,794,3
27026,343,3
38742,457,3
93919,842,3
69570,376,3
22397,553,3
63846,210,3
35651,275,3
26272,697,3
80807,71,3
97121,419,3
5359,742,3
86215,217,3
9236,606,3
61639,224,3
37358,236,3
97127,347,3
82764,242,3
36565,745,3
67093,8,3
22444,579,3
92263,968,3
98421,642,3
25433,362,3
25069,546,3
70731,740,3
10152,889,3
17720,836,3
26983,144,3
42437,688,3
37844,192,3
14874,868,3
70342,694,3
86452,389,3
14643,717,3
60052,577,3
8944,658,3
46891,569,3
18367,48,3
66265,653,3
24564,560,3
63702,876,3
12740,102,3
57753,4,3
79482,237,3
86781,31,3
73892,669,3
48221,335,3
99186,909,3
9073,965,3
28397,41,3
43158,619,3
63960,509,3
81441,473,3
1711,512,3
95875,674,3
61861,316,3
62271,923,3
25780,763,3
92457,645,3
54877,37,3
85748,294,3
543,363,3
67026,228,3
27878,924,3
9160,465,3
37517,34,3
28941,472,3
80422,661,3
5745,174,3
60459,715,3
87471,266,3
33813,160,3
69131,953,3
71429,948,3
49511,344,3
78730,167,3
40190,549,3
73090,260,3
48768,54,3
84607,948,3
76266,66,3
65709,404,3
75974,753,3
60468,684,3
92461,575,3
56155,309,3
11784,270,3
55711,203,3
25222,144,3
87187,850,3
58602,845,3
12137,951,3
57448,838,3
34034,28,3
99286,797,3
53227,806,3
4081,926,3
31500,728,3
18188,206,3
34754,405,3
65260,887,3
19910,19,3
7441,803,3
64108,987,3
37745,777,3
59486,564,3
30009,720,3
32203,831,3
36222,271,3
32754,939,3
1971,227,3
67962,688,3
50970,793,3
2694,458,3
6077,400,3
27306,937,3
43525,587,3
45750,48,3
92271,331,3
97869,837,3
72162,747,3
87741,621,3
3795,698,3
10289,86,3
62692,273,3
33450,262,3
98527,90,3
16624,892,3
10476,562,3
74822,757,3
8289,531,3
3093,306,3
13927,184,3
17894,235,3
86101,333,3
87084,830,3
